,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
49,donald trump,0,2,4,0,0,0,0,0,4,-0.042211539089078084,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
50,fisa court,0,2,1,11,0,0,0,0,12,0.46398022329329575,0.08333333333333333,0.9166666666666666,0.0,0.0,0.0,0.0,0.005405766103841723,b
51,former trump,0,2,0,2,0,0,0,0,2,-0.16875947968467153,0.0,1.0,0.0,0.0,0.0,0.0,0.002080584845306822,b
52,fox news,0,2,3,0,0,0,0,0,3,-0.10548550938687482,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
53,james comey,0,2,2,0,0,0,0,0,2,-0.16875947968467153,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
54,joe,0,1,3,0,0,0,0,0,3,-0.10548550938687482,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
55,office space,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
56,monitor fmr,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
57,trump advisor carter,0,3,1,1,0,0,0,0,2,-0.16875947968467153,0.5,0.5,0.0,0.0,0.0,0.0,0.45718066302234067,a
58,united,0,1,4,0,3,0,0,0,7,0.1476103718043121,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.9497174772465052,g
59,sam clovis,0,2,2,0,0,0,0,0,2,-0.16875947968467153,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
60,whitehouse,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
61,hrc,0,1,1,0,0,6,0,0,7,0.1476103718043121,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.0,0.9895905718333188,g
62,russian,0,1,19,0,0,2,1,0,22,1.096719926271263,0.8636363636363636,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.9999813495388721,g
63,washington post,0,2,13,0,0,0,0,0,13,0.5272541935910925,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
64,washington post fbi,0,3,2,0,0,0,0,0,2,-0.16875947968467153,1.0,0.0,0.0,0.0,0.0,0.0,0.9851184106699,g
65,carter page washington post the fbiγçª,0,6,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.10249248958275087,b
66,spicer,0,1,4,0,3,0,1,0,8,0.21088434210210882,0.5,0.0,0.375,0.0,0.125,0.0,0.891819893592415,g
67,justice department,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
68,cnn,0,1,1,0,0,3,1,0,5,0.021062431208718646,0.2,0.0,0.0,0.6,0.2,0.0,0.972491751526586,g
69,ag,0,1,0,0,0,1,0,0,1,-0.23203344998246828,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
70,devin nunes,0,2,5,0,0,0,0,0,5,0.021062431208718646,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
71,james bond,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
72,germany,0,1,3,0,2,0,0,0,5,0.021062431208718646,0.6,0.0,0.4,0.0,0.0,0.0,0.9626284077625922,g
73,mlk,0,1,0,0,0,6,0,0,6,0.08433640150651538,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
74,clinton,0,1,3,0,1,0,1,0,5,0.021062431208718646,0.6,0.0,0.2,0.0,0.2,0.0,0.957371489393174,g
75,putin,0,1,2,0,0,2,0,0,4,-0.042211539089078084,0.5,0.0,0.0,0.5,0.0,0.0,0.9971567157806419,g
76,judy,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
77,janesville wi,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
78,dt,0,1,0,0,0,3,0,0,3,-0.10548550938687482,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
79,wh,0,1,0,0,0,4,0,0,4,-0.042211539089078084,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
80,weiner,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
81,sean spicer carter,0,3,4,0,0,0,0,0,4,-0.042211539089078084,1.0,0.0,0.0,0.0,0.0,0.0,0.9851184106699,g
