candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status,class
sir malcolm x,0,3,5,0,0,0,0,1,6,-0.0884206142,0.8333333333,0,0,0,0,0.1666666667,0.9370559059,g,1
nace malcolm x,0,3,5,0,0,0,0,1,6,-0.0884206142,0.8333333333,0,0,0,0,0.1666666667,0.9370559059,g,1
noi,0,1,0,0,0,36,0,1,37,-0.0591198049,0,0,0,0.972972973,0,0.027027027,0.9368283769,g,1
muhammad ali,0,2,84,0,0,0,1,38,123,0.0221663113,0.6829268293,0,0,0,0.0081300813,0.3089430894,0.9366690708,g,1
immediately,0,1,0,0,0,179,2,0,181,0.0769871803,0,0,0,0.9889502762,0.0110497238,0,0.9359096065,g,1
hajj,0,1,9,0,0,0,2,0,11,-0.0836946772,0.8181818182,0,0,0,0.1818181818,0,0.9357725086,g,1
rally,0,1,9,0,0,0,2,0,11,-0.0836946772,0.8181818182,0,0,0,0.1818181818,0,0.9357725086,g,1
last speech,0,2,11,0,0,0,2,0,13,-0.0818043024,0.8461538462,0,0,0,0.1538461538,0,0.9353595982,g,1
secret,0,1,3,0,0,0,0,2,5,-0.0893658016,0.6,0,0,0,0,0.4,0.9343025411,g,1
betty shelby,0,2,8,0,0,0,0,4,12,-0.0827494898,0.6666666667,0,0,0,0,0.3333333333,0.9342924948,g,1
louis farrakhan,0,2,4,0,0,0,0,2,6,-0.0884206142,0.6666666667,0,0,0,0,0.3333333333,0.9342924948,g,1
plymouth rock,0,2,6,2,0,0,0,1,9,-0.085585052,0.6666666667,0.2222222222,0,0,0,0.1111111111,0.929780222,g,1
malcom x day,0,3,4,0,0,0,0,1,5,-0.0893658016,0.8,0,0,0,0,0.2,0.9287353651,g,1
