candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
rating,0,1,6,0,0,0,18,6,30,0.05361676743773045,0.2,0.0,0.0,0.0,0.6,0.2,0.1441328623500529,b
end date,0,2,10,0,0,0,0,22,32,0.06439818295739512,0.3125,0.0,0.0,0.0,0.0,0.6875,0.8124632954622945,g
green hornet,0,2,14,2,0,0,8,4,28,0.042835351918065784,0.5,0.07142857142857142,0.0,0.0,0.2857142857142857,0.14285714285714285,0.7362347879695043,a
shell,1,1,3,0,3,0,23,4,33,0.06978889071722745,0.09090909090909091,0.0,0.09090909090909091,0.0,0.696969696969697,0.12121212121212122,0.06077139485853329,b
nye,0,1,1,0,1,3,36,8,49,0.15604021487454475,0.02040816326530612,0.0,0.02040816326530612,0.061224489795918366,0.7346938775510204,0.16326530612244897,0.04708542290320007,b
depan,3,1,1,0,2,0,99,9,111,0.4902640959841494,0.009009009009009009,0.0,0.018018018018018018,0.0,0.8918918918918919,0.08108108108108109,0.021303443870464425,b
novo,0,1,8,0,10,0,334,93,445,2.2907604877681482,0.017977528089887642,0.0,0.02247191011235955,0.0,0.750561797752809,0.20898876404494382,0.03885964452138209,b
moving,1,1,7,0,10,0,110,17,144,0.6681574520586163,0.04861111111111111,0.0,0.06944444444444445,0.0,0.7638888888888888,0.11805555555555555,0.03979467696326574,b
dj,0,1,25,0,10,82,48,120,285,1.4282472461949751,0.08771929824561403,0.0,0.03508771929824561,0.28771929824561404,0.16842105263157894,0.42105263157894735,0.5641965169069421,a
album,0,1,15,0,6,0,353,73,447,2.301541903287813,0.03355704697986577,0.0,0.013422818791946308,0.0,0.7897091722595079,0.16331096196868009,0.035222392725151444,b
productive,3,1,1,0,0,0,31,2,34,0.07517959847705978,0.029411764705882353,0.0,0.0,0.0,0.9117647058823529,0.058823529411764705,0.02152338930474315,b
mug,1,1,1,0,0,2,22,5,30,0.05361676743773045,0.03333333333333333,0.0,0.0,0.06666666666666667,0.7333333333333333,0.16666666666666666,0.05095064545047223,b
brain,0,1,10,0,5,0,114,17,146,0.678938867578281,0.0684931506849315,0.0,0.03424657534246575,0.0,0.7808219178082192,0.11643835616438356,0.04096947421093836,b
celebrating,2,1,4,0,4,0,18,3,29,0.048226059677898114,0.13793103448275862,0.0,0.13793103448275862,0.0,0.6206896551724138,0.10344827586206896,0.09682803914504293,b
nl,0,1,0,0,0,13,9,8,30,0.05361676743773045,0.0,0.0,0.0,0.43333333333333335,0.3,0.26666666666666666,0.4298747642939089,a
lads,0,1,1,0,0,0,21,5,27,0.03744464415823345,0.037037037037037035,0.0,0.0,0.0,0.7777777777777778,0.18518518518518517,0.03786186186182057,b
asi,0,1,26,0,45,1,391,106,569,2.9592082499873573,0.04569420035149385,0.0,0.07908611599297012,0.0017574692442882249,0.687170474516696,0.18629173989455183,0.054055315896929544,b
zona,1,1,1,0,0,1,30,6,38,0.0967424295163891,0.02631578947368421,0.0,0.0,0.02631578947368421,0.7894736842105263,0.15789473684210525,0.03642557746079329,b
akan,1,1,6,0,9,0,441,41,497,2.5710772912794293,0.012072434607645875,0.0,0.018108651911468814,0.0,0.8873239436619719,0.08249496981891348,0.02192741581412146,b
uit,3,1,2,0,1,0,129,19,151,0.7058924063774427,0.013245033112582781,0.0,0.006622516556291391,0.0,0.8543046357615894,0.12582781456953643,0.025294895685204006,b
een,0,1,22,0,31,0,1572,248,1873,9.98869116880872,0.011745862253069941,0.0,0.016550987720234916,0.0,0.8392952482648158,0.13240790176187933,0.026517812705020776,b
shud,1,1,2,0,0,0,54,9,65,0.2422915390318621,0.03076923076923077,0.0,0.0,0.0,0.8307692307692308,0.13846153846153847,0.029786715312726274,b
making,0,1,15,0,57,2,516,101,691,3.616874596686902,0.02170767004341534,0.0,0.0824891461649783,0.002894356005788712,0.7467438494934877,0.14616497829232997,0.03851062831183936,b
drmh,1,1,2,0,0,0,30,3,35,0.08057030623689211,0.05714285714285714,0.0,0.0,0.0,0.8571428571428571,0.08571428571428572,0.029531876406773593,b
followed,0,1,25,1,22,2,357,117,524,2.7166264007949024,0.04770992366412214,0.0019083969465648854,0.04198473282442748,0.003816793893129771,0.6812977099236641,0.22328244274809161,0.057443807531880206,b
abra ar,0,2,0,0,0,1,18,7,26,0.03205393639840112,0.0,0.0,0.0,0.038461538461538464,0.6923076923076923,0.2692307692307692,0.06923118494915532,b
mourinho,0,1,17,0,6,0,4,3,30,0.05361676743773045,0.5666666666666667,0.0,0.2,0.0,0.13333333333333333,0.1,0.8218888077470277,g
cow,2,1,3,0,1,0,24,7,35,0.08057030623689211,0.08571428571428572,0.0,0.02857142857142857,0.0,0.6857142857142857,0.2,0.0652309540945483,b
voting,2,1,1,0,3,0,26,3,33,0.06978889071722745,0.030303030303030304,0.0,0.09090909090909091,0.0,0.7878787878787878,0.09090909090909091,0.033196886586140444,b
author,0,1,6,0,0,0,28,8,42,0.11830526055571844,0.14285714285714285,0.0,0.0,0.0,0.6666666666666666,0.19047619047619047,0.08915949724626726,b
oon,1,1,2,0,0,0,21,3,26,0.03205393639840112,0.07692307692307693,0.0,0.0,0.0,0.8076923076923077,0.11538461538461539,0.03881183650082884,b
mlk,2,1,0,0,0,2,19,14,35,0.08057030623689211,0.0,0.0,0.0,0.05714285714285714,0.5428571428571428,0.4,0.09899480127807464,b
dir,0,1,8,0,4,1,97,18,128,0.581906127901299,0.0625,0.0,0.03125,0.0078125,0.7578125,0.140625,0.04480088147955076,b
recommend,0,1,2,0,2,0,81,2,87,0.3608871097481734,0.022988505747126436,0.0,0.022988505747126436,0.0,0.9310344827586207,0.022988505747126436,0.019231085258894266,b
yo quiero,2,2,0,18,0,1,18,7,44,0.1290866760753831,0.0,0.4090909090909091,0.0,0.022727272727272728,0.4090909090909091,0.1590909090909091,0.13239761308650352,b
kung,0,1,3,0,4,2,26,11,46,0.13986809159504776,0.06521739130434782,0.0,0.08695652173913043,0.043478260869565216,0.5652173913043478,0.2391304347826087,0.10434612165579855,b
recife,0,1,23,0,2,0,3,5,33,0.06978889071722745,0.696969696969697,0.0,0.06060606060606061,0.0,0.09090909090909091,0.15151515151515152,0.9029401189519917,g
nc,0,1,0,0,1,27,7,23,58,0.20455658471303578,0.0,0.0,0.017241379310344827,0.46551724137931033,0.1206896551724138,0.39655172413793105,0.6208800705996647,a
