,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,evictionFlag,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
4818,abuse,11,1,2,0,0,0,12,0,14,0,-0.09539551105564423,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.011461165709631065,b
4825,sick idiot anthony weiner,0,4,6,3,0,0,0,19,28,0,-0.08299415137978963,0.21428571428571427,0.10714285714285714,0.0,0.0,0.0,0.6785714285714286,0.5808891940843784,a
4830,fix,4,1,1,0,0,0,14,0,15,0,-0.09450969965022604,0.06666666666666667,0.0,0.0,0.0,0.9333333333333333,0.0,0.0056459080796242254,b
4833,hosting,0,1,1,0,0,0,17,0,18,0,-0.09185226543397149,0.05555555555555555,0.0,0.0,0.0,0.9444444444444444,0.0,0.005110325494491724,b
4834,bubba,1,1,22,0,5,1,3,3,34,0,-0.07767928294728053,0.6470588235294118,0.0,0.14705882352941177,0.029411764705882353,0.08823529411764706,0.08823529411764706,0.9306591552884524,g
4836,carlos,0,1,59,0,1,1,0,14,75,0,-0.04136101532513496,0.7866666666666666,0.0,0.013333333333333334,0.013333333333333334,0.0,0.18666666666666668,0.9722851025924493,g
4840,active,17,1,1,0,1,0,105,0,107,0,-0.013015050351753052,0.009345794392523364,0.0,0.009345794392523364,0.0,0.9813084112149533,0.0,0.0035733756470349223,b
4861,enjoy,0,1,6,0,51,0,180,20,257,0,0.11985666046097462,0.023346303501945526,0.0,0.19844357976653695,0.0,0.7003891050583657,0.07782101167315175,0.017226521556811505,b
4866,risk,0,1,1,0,0,0,108,3,112,0,-0.008585993324662129,0.008928571428571428,0.0,0.0,0.0,0.9642857142857143,0.026785714285714284,0.003822031248692962,b
4867,donnie,0,1,7,0,1,0,0,70,78,0,-0.038703581108880405,0.08974358974358974,0.0,0.01282051282051282,0.0,0.0,0.8974358974358975,0.5510427349154936,a
4868,deep state,0,2,15,3,0,0,4,4,26,0,-0.084765774190626,0.5769230769230769,0.11538461538461539,0.0,0.0,0.15384615384615385,0.15384615384615385,0.7920824179574627,g
4873,facts,9,1,1,0,0,1,6,3,11,0,-0.09805294527189877,0.09090909090909091,0.0,0.0,0.09090909090909091,0.5454545454545454,0.2727272727272727,0.05984554812310535,b
4874,active duty,18,2,4,0,0,0,21,1,26,0,-0.084765774190626,0.15384615384615385,0.0,0.0,0.0,0.8076923076923077,0.038461538461538464,0.013369871348807823,b
4876,tony,1,1,14,0,2,0,1,3,20,0,-0.09008064262313512,0.7,0.0,0.1,0.0,0.05,0.15,0.9496081668489994,g
4882,jeffrey epstein,2,2,1091,0,0,0,0,7,1098,0,0.8648240524176679,0.9936247723132969,0.0,0.0,0.0,0.0,0.006375227686703097,0.9831880127378133,g
4895,huma files,9,2,5,35,0,0,0,4,44,0,-0.06882116889309868,0.11363636363636363,0.7954545454545454,0.0,0.0,0.0,0.09090909090909091,0.4158533625799317,a
4901,fu,5,1,0,0,0,2,65,0,67,0,-0.04844750656848044,0.0,0.0,0.0,0.029850746268656716,0.9701492537313433,0.0,0.003890571125110578,b
4911,saudi arabia,0,2,520,0,0,0,0,13,533,0,0.3643406083563936,0.975609756097561,0.0,0.0,0.0,0.0,0.024390243902439025,0.9819735816799269,g
4916,captured,16,1,0,0,0,10,2,0,12,0,-0.09716713386648058,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.7993397950499538,g
4919,current,0,1,2,0,3,0,43,0,48,0,-0.06527792327142594,0.041666666666666664,0.0,0.0625,0.0,0.8958333333333334,0.0,0.006272676328243534,b
4926,cowabunga,16,1,0,0,0,20,0,0,20,0,-0.09008064262313512,0.0,0.0,0.0,1.0,0.0,0.0,0.9392691224376746,g
4928,child sexting,5,2,1,0,0,0,891,3,895,0,0.6850043371177764,0.0011173184357541898,0.0,0.0,0.0,0.9955307262569832,0.0033519553072625698,0.0029406051354948733,b
4936,national armed forces day,16,4,5,0,0,0,0,5,10,0,-0.09893875667731696,0.5,0.0,0.0,0.0,0.0,0.5,0.7454720575457878,a
4947,future,6,1,6,0,2,1,81,7,97,0,-0.021873164405934897,0.061855670103092786,0.0,0.020618556701030927,0.010309278350515464,0.8350515463917526,0.07216494845360824,0.009214889666220121,b
4951,depths,1,1,0,0,0,0,1,10,11,0,-0.09805294527189877,0.0,0.0,0.0,0.0,0.09090909090909091,0.9090909090909091,0.3392403780385391,b
4952,year,1,1,99,0,2,3,1219,406,1729,0,1.4237710492365425,0.05725853094274147,0.0,0.001156737998843262,0.001735106998264893,0.7050318102949682,0.23481781376518218,0.017363898822435605,b
4956,far worse,14,2,8,0,0,0,0,63,71,0,-0.044904260946807696,0.11267605633802817,0.0,0.0,0.0,0.0,0.8873239436619719,0.5,a
4958,underage girls,6,2,1,0,0,0,266,60,327,0,0.18186345884024754,0.0030581039755351682,0.0,0.0,0.0,0.8134556574923547,0.1834862385321101,0.006728721124302699,b
4960,comey a nut job,9,4,89,1098,0,0,0,0,1187,0,0.9436612674998864,0.07497893850042123,0.9250210614995787,0.0,0.0,0.0,0.0,0.414071136098577,a
4961,next,0,1,3,0,24,27,300,23,377,0,0.22615402911115678,0.007957559681697613,0.0,0.0636604774535809,0.07161803713527852,0.7957559681697612,0.0610079575596817,0.010799221265641756,b
4965,using,2,1,2,0,0,0,38,1,41,0,-0.07147860310935324,0.04878048780487805,0.0,0.0,0.0,0.926829268292683,0.024390243902439025,0.005375695526629076,b
4966,10 years,7,2,0,3,0,0,29,7,39,0,-0.07325022592018961,0.0,0.07692307692307693,0.0,0.0,0.7435897435897436,0.1794871794871795,0.00912187632674608,b
4968,ball,8,1,1,0,0,0,12,1,14,0,-0.09539551105564423,0.07142857142857142,0.0,0.0,0.0,0.8571428571428571,0.07142857142857142,0.00828288445562569,b
