,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted
533,shows,0,1,1,0,0,0,7,0,8,0.16296015415801537
534,sophie turner,0,2,1,0,0,0,0,0,1,-0.2963532182385123
535,military,0,1,1,0,0,0,2,1,4,-0.09950463006857185
536,on the loose,0,3,9,0,0,0,0,2,11,0.3598087423279558
537,gamebred,0,1,2,0,1,0,0,0,3,-0.16512082612521867
538,english,0,1,3,0,0,0,0,0,3,-0.16512082612521867
539,rokita,0,1,1,0,0,0,0,0,1,-0.2963532182385123
540,bad,0,1,0,0,0,1,18,3,22,1.0815868989510706
541,brand new moves,0,3,1,0,0,0,0,0,1,-0.2963532182385123
542,goddess,0,1,0,0,0,1,1,0,2,-0.23073702218186548
543,goes 2,0,2,0,1,0,0,0,0,1,-0.2963532182385123
544,fotn,0,1,0,0,0,1,0,0,1,-0.2963532182385123
545,oil deals with russia,0,4,1,0,0,0,0,0,1,-0.2963532182385123
546,muslim,0,1,2,0,0,0,0,1,3,-0.16512082612521867
547,natal,0,1,1,0,0,0,0,0,1,-0.2963532182385123
548,died,0,1,0,0,0,1,4,0,5,-0.033888434011925046
549,nate marquardted,0,2,1,0,0,0,0,0,1,-0.2963532182385123
550,voted,0,1,1,0,0,0,41,5,47,2.7219918003672405
551,netanyahu,0,1,1,0,0,0,0,0,1,-0.2963532182385123
552,octagon,0,1,1,0,0,0,1,0,2,-0.23073702218186548
553,replace,0,1,1,0,0,1,8,1,11,0.3598087423279558
554,2 russia,0,2,0,1,0,0,0,0,1,-0.2963532182385123
555,solar system,0,2,1,0,0,0,0,0,1,-0.2963532182385123
556,slow hands,0,2,6,0,0,0,0,2,8,0.16296015415801537
557,kiev,0,1,1,0,0,0,0,0,1,-0.2963532182385123
558,traitor trump,0,2,0,0,0,1,0,0,1,-0.2963532182385123
559,martin luther king jr,0,4,1,0,0,0,0,0,1,-0.2963532182385123
560,rewrite obamacare,0,2,1,0,0,0,0,0,1,-0.2963532182385123
561,obamacare repeal vote,0,3,1,0,0,0,0,0,1,-0.2963532182385123
562,mccanns,0,1,1,0,0,0,0,0,1,-0.2963532182385123
563,republican party,0,2,1,1,0,0,0,0,2,-0.23073702218186548
564,white people,0,2,2,2,0,0,18,3,25,1.278435487121011
565,masvidal,0,1,39,0,31,0,3,2,75,4.559245289953352
566,susan rice,0,2,5,0,0,0,0,0,5,-0.033888434011925046
567,luhan,0,1,1,0,0,0,0,0,1,-0.2963532182385123
568,western,0,1,1,0,0,0,1,0,2,-0.23073702218186548
569,convene the death panel,0,4,2,0,0,0,0,0,2,-0.23073702218186548
570,sam clovis,0,2,2,0,0,0,0,0,2,-0.23073702218186548
571,vip,0,1,0,0,0,1,0,0,1,-0.2963532182385123
572,libs,0,1,2,0,1,0,1,2,6,0.03172776204472176
573,conversation page,0,2,1,0,0,0,0,0,1,-0.2963532182385123
574,spain,0,1,1,0,3,0,0,2,6,0.03172776204472176
575,seriously,0,1,1,0,3,0,4,2,10,0.294192546271309
576,albert einstein,0,2,1,0,0,0,0,0,1,-0.2963532182385123
